task	cluster	jobid	state
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_bridge_parallel	young-ng	3489	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_bridge_vertical	young-ng	3490	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_hollow_parallel	young-ng	3491	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_hollow_vertical	young-ng	3492	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_top_parallel	young-ng	3493	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_top_vertical	young-ng	3494	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_bridge_parallel	young-ng	3495	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_bridge_vertical	young-ng	3496	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_hollow_parallel	young-ng	3497	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_hollow_vertical	young-ng	3498	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_top_parallel	young-ng	3499	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_top_vertical	young-ng	3500	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_bridge_parallel	young-ng	3501	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_bridge_vertical	young-ng	3502	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_hollow_parallel	young-ng	3503	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_hollow_vertical	young-ng	3504	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_top_parallel	young-ng	3505	CANCELLED
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_top_vertical	young-ng	3506	CANCELLED
